year,state,ObesityPercent,NoLeisureActivityPercent
2012,Mississippi,32.71,10.84
2012,Mississippi,43.59,38.52
2011,Mississippi,25.91,49.77
2011,Mississippi,26.66,17.21
2012,Mississippi,41.05,43.84
2012,Mississippi,39.45,28.06
2011,Mississippi,20.78,39.25
2012,Mississippi,21.43,15.29
2012,Mississippi,32.84,36.91
2012,Mississippi,30.52,34.07
2012,Mississippi,22.24,41.44
2012,Mississippi,44.96,34.41
2012,Mississippi,32.5,28.02
2011,Mississippi,32.55,27.99
2012,Mississippi,41.88,37.03
2011,Mississippi,26.17,40.69
2011,Mississippi,42.27,44.22
2011,Mississippi,26.27,15.97
2012,Mississippi,28.88,29.24
2012,Mississippi,40.03,31.36
2011,Mississippi,34.62,13.79
2011,Mississippi,37.42,34.56
2011,Mississippi,37.17,26.76
2011,Mississippi,20.51,35.25
2011,Mississippi,25.13,26.71
2011,Mississippi,31.65,44.23
2012,Mississippi,27.33,34.86
2011,Mississippi,34.78,22.79
2011,Mississippi,24.77,44.85
2011,Mississippi,22.42,40.31
2011,Mississippi,22.25,15.31
2011,Mississippi,21.5,46.56
2011,Mississippi,36.97,46.56
2012,Mississippi,24.59,19.95
2011,Mississippi,32.94,30.88
2011,Mississippi,24.28,43.23
2011,Mississippi,20.7,45.4
2011,Mississippi,41.76,38.5
2012,Mississippi,30.28,21.86
2012,Mississippi,33.17,32.77
2012,Mississippi,42.12,34.16
2011,Mississippi,34.03,41.52
2012,Mississippi,28.96,13.5
2012,Mississippi,31.76,25.86
2011,Mississippi,32.35,14.33
2011,Mississippi,34.95,26.6
2011,Mississippi,37.92,19.92
2012,Mississippi,34.67,34.93
2011,Mississippi,24.48,26.64
2012,Mississippi,37.9,25.58
2011,Mississippi,40.78,32.83
2011,Mississippi,37.14,11.94
2011,Mississippi,33.53,20.93
2011,Mississippi,38.93,18.19
2012,Mississippi,34.85,38.4
2011,Mississippi,38.13,32.68
2011,Mississippi,42.89,37.24
2011,Mississippi,40.8,38.9
2012,Mississippi,38.72,14.25
2011,Mississippi,37.93,33.7
2011,Mississippi,39.29,16.8
2012,Mississippi,32.95,15.18
2012,Mississippi,43.59,39.46
2012,Mississippi,26.2,42.8
2012,Mississippi,22.57,31.67
2012,Mississippi,21.39,41.55
2011,Mississippi,22.32,21.27
2011,Mississippi,21.91,34.19
2012,Mississippi,42.99,19.65
2011,Mississippi,37.44,42.87
2011,Mississippi,26.46,24.17
2012,Mississippi,30.89,49.1
2012,Mississippi,34.49,35.66
2012,Mississippi,31.98,26.66
2011,Mississippi,32.35,47.47
2011,Mississippi,31.53,44.26
2012,Mississippi,24.0,32.94
2012,Mississippi,35.49,13.0
2011,Mississippi,36.68,18.56
2012,Mississippi,20.54,16.61
2012,Mississippi,28.34,20.57
2012,Mississippi,36.42,17.44
2012,Mississippi,40.17,33.51
2012,Mississippi,41.85,43.44
2012,Mississippi,26.58,21.73
2012,Mississippi,27.71,36.1
2012,Mississippi,34.98,13.46
2011,Mississippi,30.26,25.28
2012,Mississippi,38.15,36.8
2012,Mississippi,42.8,36.07
2011,Mississippi,21.95,20.99
2011,Mississippi,33.15,38.25
2011,Mississippi,36.91,27.69
2011,Mississippi,39.38,29.98
2012,Mississippi,43.88,39.9
2012,Mississippi,28.95,46.33
2012,Mississippi,41.01,38.83
2012,Mississippi,29.55,24.85
2012,Mississippi,27.55,22.12
2011,Mississippi,29.66,11.54
2011,Mississippi,39.83,15.98
2012,Mississippi,34.27,19.44
2012,Mississippi,28.91,10.5
2011,Mississippi,24.12,15.83
2012,Mississippi,38.15,47.24
2011,Mississippi,20.58,38.88
2011,Mississippi,27.28,28.28
2012,Mississippi,33.45,24.24
2011,Mississippi,31.88,40.87
2012,Mississippi,37.89,43.34
2012,Mississippi,23.64,35.9
2011,Mississippi,26.03,18.05
2012,Mississippi,24.9,48.63
2011,Mississippi,39.73,34.84
2011,Mississippi,43.26,17.63
2011,Mississippi,44.14,48.12
2012,Mississippi,24.57,30.88
2012,Mississippi,41.31,16.44
2012,Mississippi,32.4,15.31
2012,Mississippi,27.11,13.33
2012,Mississippi,40.71,13.69
2012,Mississippi,33.09,42.59
2012,Mississippi,30.14,44.77
2011,Mississippi,34.59,32.52
2012,Mississippi,40.53,33.02
2012,Mississippi,28.33,22.25
2011,Mississippi,25.47,49.54
2012,Mississippi,31.83,32.88
2012,Mississippi,25.51,30.48
2011,Mississippi,44.54,26.52
2012,Mississippi,33.11,14.23
2012,Mississippi,26.65,17.81
2011,Mississippi,33.54,16.46
2011,Mississippi,23.91,22.27
2012,Mississippi,22.08,49.58
2012,Mississippi,41.52,41.33
2012,Mississippi,40.8,15.72
2011,Mississippi,30.56,29.62
2012,Mississippi,41.32,25.35
2011,Mississippi,30.57,14.72
2012,Mississippi,44.4,15.39
2011,Mississippi,36.09,48.93
2012,Mississippi,33.49,31.62
2011,Mississippi,42.43,25.65
2012,Mississippi,37.96,26.32
2012,Mississippi,39.19,24.76
2011,Mississippi,20.36,46.83
2011,Mississippi,39.58,21.86
2011,Mississippi,27.81,45.95
2011,Mississippi,21.95,46.54
2011,Mississippi,32.87,21.98
2012,Mississippi,44.37,12.47
2011,Mississippi,23.88,19.36
2011,Mississippi,30.45,21.86
2011,Mississippi,25.06,39.81
2012,Mississippi,27.68,24.91
2012,Mississippi,23.32,25.95
2012,Mississippi,44.03,37.71
2011,Mississippi,29.59,28.59
2012,Mississippi,23.61,16.43
2011,Mississippi,36.81,44.77
2012,Mississippi,40.42,14.58
2012,Mississippi,20.98,26.23
2011,Mississippi,27.49,19.68
2011,Mississippi,42.56,36.46
2011,Mississippi,43.48,25.6
2012,Mississippi,22.47,12.55
2012,Mississippi,28.46,44.33
2012,Mississippi,35.74,15.92
2011,Mississippi,25.6,21.65
2011,Mississippi,22.65,48.57
2011,Mississippi,43.4,18.17
2012,Mississippi,28.21,11.22
2012,Mississippi,38.85,18.22
2012,Mississippi,36.5,18.44
2012,Mississippi,44.98,36.75
2012,Mississippi,39.6,41.73
2012,Mississippi,38.92,19.59
2011,Mississippi,24.32,37.2
2011,Mississippi,42.64,12.95
2011,Mississippi,42.23,48.04
2011,Mississippi,21.74,14.5
2012,Mississippi,42.82,47.06
2012,Mississippi,42.55,27.6
2011,Mississippi,24.46,10.34
2011,Mississippi,26.33,35.4
2012,Mississippi,36.37,14.59
2011,Mississippi,26.0,25.12
2011,Mississippi,24.71,31.12
2011,Mississippi,32.9,12.41
2012,Mississippi,29.88,11.72
2012,Mississippi,24.02,21.2
2011,Mississippi,37.1,11.21
2011,Mississippi,30.04,33.93
2012,Mississippi,29.77,43.77
2012,Mississippi,39.54,32.61
2011,Mississippi,37.65,44.35
2012,Mississippi,20.63,33.89
2011,Mississippi,40.35,42.38
2012,Mississippi,38.8,27.77
2011,Mississippi,22.31,40.82
2012,Mississippi,30.55,43.03
2012,Mississippi,27.25,48.03
2012,Mississippi,31.35,37.95
2011,Mississippi,31.32,20.69
2012,Mississippi,44.48,39.6
2012,Mississippi,24.92,33.17
2011,Mississippi,43.84,33.12
2011,Mississippi,31.6,27.56
2012,Mississippi,22.31,42.4
2012,Mississippi,39.79,43.16
2012,Mississippi,41.59,17.26
2012,Mississippi,24.37,32.2
2011,Mississippi,30.03,42.27
2011,Mississippi,37.05,36.37
2011,Mississippi,41.44,19.62
2012,Mississippi,43.41,21.62
2012,Mississippi,28.17,16.34
2011,Mississippi,25.92,12.66
2012,Mississippi,20.88,26.18
2012,Mississippi,29.79,27.85
2012,Mississippi,33.34,28.23
2011,Mississippi,20.7,48.79
2012,Mississippi,27.46,25.97
2012,Mississippi,23.79,27.17
2011,Mississippi,28.25,32.88
2011,Mississippi,36.81,28.08
2011,Mississippi,42.63,18.4
2012,Mississippi,39.21,25.31
2011,Mississippi,42.63,28.28
2012,Mississippi,40.09,15.12
2012,Mississippi,27.38,13.61
2012,Mississippi,35.35,25.24
2012,Mississippi,41.39,29.28
2011,Mississippi,20.78,42.53
2011,Mississippi,40.36,47.97
2011,Mississippi,43.88,12.15
2012,Mississippi,26.29,20.5
2011,Mississippi,41.17,41.72
2011,Mississippi,24.72,38.96
2012,Mississippi,26.4,38.92
2011,Mississippi,24.14,49.72
2011,Mississippi,39.27,12.09
2012,Mississippi,40.3,30.23
2011,Mississippi,30.78,40.97
2011,Mississippi,25.77,40.23
2011,Mississippi,36.65,32.32
2011,Mississippi,40.05,33.4
2011,Mississippi,38.0,12.32
2012,Mississippi,25.39,20.25
2011,Mississippi,27.07,17.16
2011,Mississippi,44.2,44.99
2012,Mississippi,39.97,19.41
2012,Mississippi,28.82,36.34
2012,Mississippi,30.73,21.1
2012,Mississippi,25.4,10.6
2012,Mississippi,31.1,39.32
2011,Mississippi,39.87,29.22
2012,Mississippi,34.45,49.86
2011,Mississippi,35.89,44.36
2012,Mississippi,40.89,42.4
2012,Mississippi,20.58,19.76
2011,Mississippi,21.82,30.52
2011,Mississippi,27.92,30.73
2011,Mississippi,40.14,28.86
2011,Mississippi,27.88,39.58
2011,Mississippi,32.94,32.33
2012,Mississippi,40.44,13.96
2011,Mississippi,27.96,38.43
2011,Mississippi,32.29,13.91
2011,Mississippi,44.17,15.6
2012,Mississippi,42.56,28.27
2012,Mississippi,41.82,30.77
2012,Mississippi,26.1,47.48
2011,Mississippi,21.99,47.59
2012,Mississippi,39.52,49.94
2011,Mississippi,32.37,40.11
2012,Mississippi,33.53,15.2
2011,Mississippi,41.65,21.64
2011,Mississippi,31.23,44.37
2011,Mississippi,24.28,22.22
2011,Mississippi,30.29,13.12
2011,Mississippi,32.26,16.73
2012,Mississippi,26.97,13.68
2012,Mississippi,42.66,20.77
2011,Mississippi,28.2,30.83
2011,Mississippi,39.44,44.15
2012,Mississippi,37.26,40.34
2012,Mississippi,41.99,15.26
2012,Mississippi,40.5,38.91
2012,Mississippi,34.87,19.46
2012,Mississippi,42.43,37.79
2012,Mississippi,37.97,11.17
2011,Mississippi,29.01,18.65
2011,Mississippi,33.67,31.89
2012,Mississippi,29.61,49.18
2012,Mississippi,25.81,20.89
2011,Mississippi,40.64,49.51
2012,Mississippi,30.05,31.23
2011,Mississippi,21.72,13.86
2012,Mississippi,38.48,12.91
2011,Mississippi,28.1,15.47
2012,Mississippi,23.8,35.68
2012,Mississippi,40.51,46.78
2012,Mississippi,42.02,22.45
2012,Mississippi,35.14,26.9
2011,Mississippi,22.63,12.81
2011,Mississippi,24.79,47.61
2011,Mississippi,43.41,42.56
2012,Mississippi,26.44,45.48
2012,Mississippi,32.31,26.04
2011,Mississippi,44.21,21.35
2011,Mississippi,37.16,19.41
2012,Mississippi,21.81,42.55
2012,Mississippi,28.84,36.64
2011,Mississippi,37.04,37.43
2012,Mississippi,32.69,11.98
2012,Mississippi,20.83,32.62
2011,Mississippi,43.78,18.81
2012,Mississippi,38.16,10.26
2011,Mississippi,41.09,45.88
2012,Mississippi,22.84,34.84
2011,Mississippi,44.16,29.15
2011,Mississippi,33.22,30.27
2011,Mississippi,42.78,24.34
2011,Mississippi,20.7,24.22
2012,Mississippi,24.15,26.52
2012,Mississippi,43.9,33.69
2012,Mississippi,35.56,23.24
2012,Mississippi,36.25,38.26
2011,Mississippi,40.31,45.67
2012,Mississippi,25.98,17.27
2012,Mississippi,36.63,38.09
2011,Mississippi,41.18,19.22
2012,Mississippi,28.37,43.59
2012,Mississippi,35.16,17.77
2012,Mississippi,29.99,21.02
2012,Mississippi,35.97,33.21
2012,Mississippi,28.94,41.62
2012,Mississippi,30.54,49.1
2012,Mississippi,31.58,24.78
2012,Mississippi,42.2,32.62
2012,Mississippi,34.9,34.99
2011,Mississippi,43.57,37.13
2012,Mississippi,38.73,33.59
2011,Mississippi,30.83,47.04
2012,Mississippi,26.08,39.59
2011,Mississippi,39.94,39.01
2011,Mississippi,41.28,10.68
2012,Mississippi,28.33,34.07
2011,Mississippi,38.53,16.75
2011,Mississippi,42.23,23.95
2012,Mississippi,44.4,11.0
2011,Mississippi,31.42,35.83
2011,Mississippi,41.34,37.88
2011,Mississippi,23.51,45.82
2011,Mississippi,36.58,36.85
2012,Mississippi,29.12,10.6
2011,Mississippi,30.58,13.19
2011,Mississippi,37.53,44.12
2011,Mississippi,28.06,13.48
2012,Mississippi,36.62,11.76
2011,Mississippi,21.1,24.53
2012,Mississippi,38.65,15.83
2011,Mississippi,35.42,38.66
2012,Mississippi,23.87,42.17
2012,Mississippi,27.47,19.68
2011,Mississippi,25.0,22.29
2012,Mississippi,27.97,13.59
2011,Mississippi,42.2,15.82
2011,Mississippi,32.2,35.06
2011,Mississippi,35.08,41.68
2011,Mississippi,22.59,45.29
2012,Mississippi,28.85,40.11
2011,Mississippi,41.09,21.61
2011,Mississippi,37.97,15.42
2012,Mississippi,25.11,38.96
2012,Mississippi,26.5,23.72
2012,Mississippi,39.7,22.36
2011,Mississippi,38.51,36.35
2012,Mississippi,30.35,12.61
2011,Mississippi,28.96,15.23
2012,Mississippi,42.58,42.62
2011,Mississippi,25.4,26.18
2012,Mississippi,32.92,18.02
2012,Mississippi,21.07,18.84
2011,Mississippi,26.01,45.9
2012,Mississippi,29.37,18.54
2012,Mississippi,39.34,36.84
2011,Mississippi,25.4,16.24
2011,Mississippi,36.91,24.86
2011,Mississippi,41.83,28.37
2011,Mississippi,34.22,42.37
2012,Mississippi,37.23,43.63
2012,Mississippi,33.88,11.89
2012,Mississippi,44.87,31.0
2011,Mississippi,22.05,10.2
2012,Mississippi,42.73,10.28
2011,Mississippi,43.32,47.79
2012,Mississippi,32.29,38.3
2012,Mississippi,23.31,34.83
2012,Mississippi,34.97,18.41
2012,Mississippi,38.32,45.18
2011,Mississippi,24.15,29.74
2011,Mississippi,39.04,24.9
2012,Mississippi,20.79,39.79
2011,Mississippi,33.58,41.64
2012,Mississippi,40.23,19.07
2012,Mississippi,42.83,46.78
2012,Mississippi,28.43,43.34
2012,Mississippi,36.75,30.93
2012,Mississippi,34.67,25.3
2012,Mississippi,44.16,40.48
2011,Mississippi,30.5,27.73
2012,Mississippi,28.39,22.3
2011,Mississippi,44.08,29.32
2012,Mississippi,35.8,13.25
2011,Mississippi,35.54,33.98
2011,Mississippi,43.64,24.54
2011,Mississippi,25.06,19.21
2012,Mississippi,36.52,30.97
2012,Mississippi,21.43,20.61
2012,Mississippi,28.08,42.06
2011,Mississippi,22.93,48.2
2012,Mississippi,39.64,14.26
2012,Mississippi,28.18,17.78
2012,Mississippi,44.38,37.3
2012,Mississippi,21.75,29.84
2012,Mississippi,41.13,40.18
2012,Mississippi,39.84,10.26
2012,Mississippi,25.11,32.38
2012,Mississippi,24.82,44.4
2012,Mississippi,22.48,19.99
2012,Mississippi,38.08,48.16
2011,Mississippi,41.53,13.91
2012,Mississippi,40.67,10.16
2011,Mississippi,41.09,14.35
2011,Mississippi,37.22,19.99
2012,Mississippi,41.55,41.74
2012,Mississippi,31.44,16.95
2012,Mississippi,37.19,43.78
2012,Mississippi,26.46,19.64
2012,Mississippi,32.43,45.31
2011,Mississippi,20.02,39.36
2012,Mississippi,31.92,23.0
2011,Mississippi,32.36,20.32
2011,Mississippi,33.11,40.46
2012,Mississippi,38.15,49.52
2012,Mississippi,26.9,40.59
2012,Mississippi,26.07,48.98
2011,Mississippi,31.13,37.77
2012,Mississippi,22.66,44.24
2012,Mississippi,34.18,40.06
2012,Mississippi,37.46,39.72
2012,Mississippi,22.77,39.13
2012,Mississippi,23.44,46.31
2011,Mississippi,30.57,44.91
2011,Mississippi,43.05,11.03
2012,Mississippi,34.0,18.02
2012,Mississippi,20.0,32.63
2012,Mississippi,39.0,45.42
2012,Mississippi,23.01,38.19
2011,Mississippi,34.01,23.0
2012,Mississippi,25.18,26.88
2012,Mississippi,25.26,10.93
2012,Mississippi,40.48,12.09
2011,Mississippi,28.8,30.65
2011,Mississippi,39.92,13.12
2011,Mississippi,34.35,19.4
2012,Mississippi,36.42,42.81
2011,Mississippi,39.79,16.98
2011,Mississippi,39.93,37.07
2012,Mississippi,40.52,49.88
2011,Mississippi,38.95,45.1
2012,Mississippi,23.85,47.21
2011,Mississippi,25.31,19.41
2011,Mississippi,40.52,28.38
2011,Mississippi,35.58,27.09
2011,Mississippi,21.25,19.92
2012,Mississippi,28.86,13.42
2011,Mississippi,40.28,25.93
2012,Mississippi,44.78,26.14
2011,Mississippi,29.45,48.12
2011,Mississippi,31.03,25.98
2011,Mississippi,33.99,41.56
2012,Mississippi,23.43,46.42
2011,Mississippi,22.43,34.19
2011,Mississippi,23.62,40.75
2012,Mississippi,43.82,47.98
2012,Mississippi,31.46,36.03
2011,Mississippi,24.59,38.11
2011,Mississippi,31.09,39.42
2011,Mississippi,31.68,46.43
2011,Mississippi,35.36,47.63
2011,Mississippi,33.27,13.36
2011,Mississippi,26.87,17.94
2012,Mississippi,24.36,44.08
2011,Mississippi,33.19,19.98
2012,Mississippi,43.05,42.69
2012,Mississippi,29.47,11.29
2012,Mississippi,24.89,44.5
2011,Mississippi,23.32,41.76
2012,Mississippi,37.47,34.93
2011,Mississippi,38.04,32.86
2012,Mississippi,21.17,31.65
2011,Mississippi,40.58,29.76
2012,Mississippi,36.41,47.42
2011,Mississippi,28.06,45.71
2011,Mississippi,27.72,48.54
2011,Mississippi,38.26,30.26
2012,Mississippi,40.8,40.18
2012,Mississippi,29.89,34.01
2012,Mississippi,42.31,15.43
2012,Mississippi,41.92,40.27
2012,Mississippi,39.87,49.14
2012,Mississippi,27.28,41.32
2011,Mississippi,24.69,33.08
2011,Mississippi,27.13,13.64
2011,Mississippi,42.88,15.17
2012,Mississippi,26.99,13.48
2011,Mississippi,20.34,30.77
2011,Mississippi,30.16,12.38
2012,Mississippi,33.47,10.44
2012,Mississippi,26.28,35.05
2011,Mississippi,35.13,41.87
2012,Mississippi,26.85,42.44
2012,Mississippi,26.14,41.76
2012,Mississippi,23.42,15.73
2012,Mississippi,39.17,45.82
2011,Mississippi,26.97,32.6
2011,Mississippi,35.32,42.63
2011,Mississippi,22.59,29.53
2011,Mississippi,41.34,39.26
2011,Mississippi,42.39,35.65
2011,Mississippi,30.86,32.06
2011,Mississippi,22.29,13.29
2011,Mississippi,31.32,10.39
2011,Mississippi,25.15,25.57
2012,Mississippi,21.04,27.08
2012,Mississippi,43.96,15.54
2011,Mississippi,28.19,47.09
2012,Mississippi,39.38,11.77
2011,Mississippi,35.63,19.3
2011,Mississippi,21.39,35.26
2011,Mississippi,39.11,20.95
2012,Mississippi,41.36,21.39
2011,Mississippi,23.57,46.75
2011,Mississippi,40.46,46.74
2012,Mississippi,22.88,48.49
2011,Mississippi,33.77,33.17
2012,Mississippi,34.52,20.2
2012,Mississippi,27.91,38.03
2011,Mississippi,25.67,24.91
2011,Mississippi,39.78,48.02
2011,Mississippi,28.09,43.48
2011,Mississippi,29.21,31.25
2011,Mississippi,22.54,10.91
2011,Mississippi,30.25,19.94
2012,Mississippi,23.43,17.92
2012,Mississippi,20.87,19.0
2011,Mississippi,42.54,27.43
2012,Mississippi,40.85,45.11
2011,Mississippi,33.6,28.53
2012,Mississippi,22.33,40.52
2012,Mississippi,30.8,23.61
2011,Mississippi,31.87,31.74
2012,Mississippi,24.33,19.86
2012,Mississippi,33.68,32.63
2011,Mississippi,42.98,42.0
2011,Mississippi,22.53,48.44
2012,Mississippi,34.87,25.25
2012,Mississippi,35.22,24.47
2012,Mississippi,32.07,18.07
2011,Mississippi,33.07,24.43
2011,Mississippi,20.97,35.13
2011,Mississippi,24.49,42.45
2011,Mississippi,24.36,45.16
2011,Mississippi,28.63,36.72
2012,Mississippi,38.06,14.9
2012,Mississippi,44.83,35.2
2011,Mississippi,40.64,24.5
2012,Mississippi,36.88,21.24
2012,Mississippi,36.38,30.97
2012,Mississippi,21.19,29.82
2012,Mississippi,34.82,18.27
2012,Mississippi,20.8,16.87
2012,Mississippi,37.47,37.99
2011,Mississippi,31.75,32.67
2012,Mississippi,36.41,26.02
2012,Mississippi,20.14,47.26
2012,Mississippi,30.2,38.7
2012,Mississippi,22.13,21.24
2011,Mississippi,35.21,49.22
2011,Mississippi,27.89,46.82
2012,Mississippi,34.28,19.17
2012,Mississippi,30.96,21.59
2011,Mississippi,43.35,41.98
2012,Mississippi,31.44,41.08
2011,Mississippi,26.35,31.3
2011,Mississippi,35.71,27.92
2011,Mississippi,43.34,28.86
2011,Mississippi,43.14,36.64
2012,Mississippi,29.4,19.85
2012,Mississippi,39.55,43.98
2012,Mississippi,39.8,45.68
2011,Mississippi,29.27,35.36
2012,Mississippi,43.16,25.02
2011,Mississippi,30.04,18.38
2012,Mississippi,42.32,34.36
2011,Mississippi,23.53,45.17
2011,Mississippi,27.72,25.56
2012,Mississippi,21.64,49.19
2011,Mississippi,21.47,37.54
2012,Mississippi,22.82,28.83
2012,Mississippi,35.51,46.35
2011,Mississippi,37.75,34.98
2012,Mississippi,22.75,40.28
2012,Mississippi,23.75,15.95
2011,Mississippi,27.49,48.27
2012,Mississippi,40.44,34.3
2012,Mississippi,40.8,27.88
2011,Mississippi,38.29,31.11
2012,Mississippi,29.41,29.36
2012,Mississippi,33.31,31.5
2012,Mississippi,30.94,48.01
2011,Mississippi,35.28,39.8
2012,Mississippi,35.49,29.92
2011,Mississippi,39.08,25.36
2012,Mississippi,38.26,11.13
2012,Mississippi,31.99,40.2
2012,Mississippi,34.75,34.75
2011,Mississippi,42.14,24.47
2012,Mississippi,38.79,24.61
2011,Mississippi,41.91,11.83
2011,Mississippi,43.7,14.78
2011,Mississippi,35.68,20.18
2011,Mississippi,43.23,11.0
2011,Mississippi,40.01,28.57
2012,Mississippi,20.13,15.83
2012,Mississippi,20.33,46.36
2011,Mississippi,21.69,15.14
2012,Mississippi,36.92,15.45
2012,Mississippi,22.84,38.16
2011,Mississippi,43.69,34.45
2011,Mississippi,25.25,22.5
2011,Mississippi,29.03,30.2
2012,Mississippi,41.03,17.12
2012,Mississippi,37.95,31.48
2011,Mississippi,26.12,48.35
2011,Mississippi,33.29,28.32
2012,Mississippi,35.24,41.51
2011,Mississippi,34.0,25.38
2012,Mississippi,44.3,42.74
2012,Mississippi,31.25,11.21
2011,Mississippi,25.36,19.66
2012,Mississippi,25.52,45.13
2012,Mississippi,37.89,39.44
2011,Mississippi,40.65,42.0
2012,Mississippi,23.29,31.7
2011,Mississippi,39.03,14.76
2012,Mississippi,23.43,29.91
2011,Mississippi,23.88,12.3
2011,Mississippi,42.28,37.22
2012,Mississippi,40.91,33.3
2012,Mississippi,41.38,17.44
2012,Mississippi,44.27,20.61
2011,Mississippi,33.96,25.77
2011,Mississippi,22.32,39.74
2011,Mississippi,36.45,40.45
2011,Mississippi,24.73,38.37
2012,Mississippi,34.51,35.46
2011,Mississippi,31.25,20.81
2012,Mississippi,20.55,40.64
2012,Mississippi,25.13,28.25
2011,Mississippi,25.54,24.39
2012,Mississippi,26.63,11.07
2011,Mississippi,44.61,19.01
2011,Mississippi,44.29,25.11
2011,Mississippi,32.61,16.62
2011,Mississippi,27.73,29.77
2011,Mississippi,29.45,14.12
2011,Mississippi,38.65,46.77
2012,Mississippi,39.6,44.76
2012,Mississippi,39.86,35.24
2011,Mississippi,31.05,41.06
2012,Mississippi,20.45,33.85
2011,Mississippi,25.04,44.42
2012,Mississippi,21.41,16.71
2011,Mississippi,22.61,41.08
2011,Mississippi,21.99,15.51
2012,Mississippi,42.82,31.03
2012,Mississippi,40.02,23.85
2012,Mississippi,23.37,17.64
2012,Mississippi,28.08,39.88
2012,Mississippi,40.85,42.24
2012,Mississippi,33.7,27.72
2011,Mississippi,23.37,23.32
2011,Mississippi,24.05,30.77
2011,Mississippi,33.9,24.6
2011,Mississippi,43.4,24.49
2012,Mississippi,22.79,39.16
2012,Mississippi,28.96,20.51
2011,Mississippi,24.23,21.45
2012,Mississippi,42.89,16.5
2011,Mississippi,24.11,19.95
2012,Mississippi,44.32,46.23
2011,Mississippi,29.3,47.3
2011,Mississippi,29.59,17.67
2011,Mississippi,34.15,48.78
2012,Mississippi,23.3,38.68
2012,Mississippi,43.51,16.17
2011,Mississippi,37.9,20.66
2012,Mississippi,24.55,33.07
2011,Mississippi,22.94,16.4
2012,Mississippi,23.88,49.94
2012,Mississippi,39.46,37.38
2011,Mississippi,34.94,36.44
2012,Mississippi,39.47,17.87
2011,Mississippi,28.8,11.4
2012,Mississippi,25.07,31.17
2011,Mississippi,26.03,46.69
2012,Mississippi,38.72,39.49
2011,Mississippi,22.22,15.28
2012,Mississippi,20.95,29.0
2011,Mississippi,31.78,17.32
2012,Mississippi,21.79,15.05
2011,Mississippi,41.97,38.82
2011,Mississippi,29.9,38.19
2011,Mississippi,24.97,31.0
2012,Mississippi,21.7,36.88
2012,Mississippi,34.43,10.48
2011,Mississippi,43.2,15.18
2012,Mississippi,33.82,15.16
2012,Mississippi,42.11,29.08
2012,Mississippi,43.46,28.16
2012,Mississippi,40.5,28.2
2012,Mississippi,22.17,48.15
2012,Mississippi,22.06,47.1
2012,Mississippi,20.18,44.17
2012,Mississippi,42.99,18.52
2011,Mississippi,22.4,31.35
2012,Mississippi,44.94,29.4
2012,Mississippi,23.4,38.03
2011,Mississippi,27.47,16.15
2012,Mississippi,32.51,38.34
2012,Mississippi,28.03,35.93
2012,Mississippi,41.45,33.38
2011,Mississippi,22.76,46.86
2012,Mississippi,41.28,40.7
2012,Mississippi,30.95,41.77
2011,Mississippi,23.07,25.86
2011,Mississippi,28.49,37.34
2011,Mississippi,43.38,20.56
2012,Mississippi,32.84,15.15
2012,Mississippi,44.9,36.63
2012,Mississippi,28.02,11.49
2011,Mississippi,30.76,33.44
2012,Mississippi,36.6,49.14
2012,Mississippi,33.96,22.82
2012,Mississippi,42.15,13.53
2011,Mississippi,36.97,30.37
2011,Mississippi,34.51,22.6
2012,Mississippi,36.99,39.8
2012,Mississippi,33.92,17.62
2011,Mississippi,24.33,48.87
2012,Mississippi,42.18,39.1
2011,Mississippi,38.22,24.01
2012,Mississippi,40.36,42.32
2012,Mississippi,32.82,11.3
2011,Mississippi,37.12,15.14
2012,Mississippi,35.26,35.45
2012,Mississippi,36.45,21.16
2012,Mississippi,42.46,13.21
2012,Mississippi,38.71,14.68
2011,Mississippi,30.88,12.42
2012,Mississippi,37.2,16.27
2011,Mississippi,25.35,49.22
2012,Mississippi,30.45,31.15
2012,Mississippi,44.55,37.03
2011,Mississippi,40.45,27.3
2011,Mississippi,42.65,26.67
2011,Mississippi,22.32,21.05
2011,Mississippi,35.31,34.43
2012,Mississippi,32.23,14.02
2012,Mississippi,37.63,20.46
2011,Mississippi,26.69,46.0
2011,Mississippi,21.61,11.51
2011,Mississippi,28.2,41.46
2012,Mississippi,30.08,40.61
2012,Mississippi,43.62,32.9
2011,Mississippi,27.77,19.37
2011,Mississippi,41.52,29.94
2012,Mississippi,39.38,19.01
2011,Mississippi,35.91,21.09
2012,Mississippi,42.2,26.24
2012,Mississippi,39.45,41.28
2011,Mississippi,35.37,45.35
2012,Mississippi,40.03,43.2
2011,Mississippi,44.23,37.87
2012,Mississippi,42.9,11.7
2012,Mississippi,27.45,19.3
2012,Mississippi,35.49,24.2
2012,Mississippi,27.74,42.47
2011,Mississippi,22.19,21.88
2011,Mississippi,40.69,40.65
2012,Mississippi,42.81,44.5
2012,Mississippi,30.9,14.04
2011,Mississippi,24.14,48.8
2011,Mississippi,31.69,20.04
2012,Mississippi,30.13,36.43
2011,Mississippi,27.72,23.22
2011,Mississippi,32.38,22.73
2011,Mississippi,40.09,28.56
2011,Mississippi,23.35,41.56
2012,Mississippi,44.22,46.88
2011,Mississippi,41.58,39.53
2011,Mississippi,34.35,20.32
2012,Mississippi,23.42,44.66
2011,Mississippi,35.5,10.62
2012,Mississippi,35.84,21.64
2012,Mississippi,29.19,44.54
2012,Mississippi,39.71,29.83
